m1,m2,m3,m4,laser,target
0,0,0,1,14.59996622,98.31820071
1,1,1,1,3.690239912,78.94786385
0,0,1,0,6.932793887,75.81314547
0,1,1,1,13.26561274,79.03010464
0,1,0,0,9.64178689,80.12792478
1,0,1,1,14.77142077,82.60214762
0,1,1,1,19.22415802,90.67531937
0,1,0,1,2.330933754,72.53075681
0,0,0,0,14.19135433,80.89786521
1,0,0,0,4.606883113,80.97616574
0,0,0,1,8.289534548,93.74378793
0,0,1,1,0.657254516,63.17041926
0,1,0,0,2.718147646,70.31377088
0,0,1,0,6.395545781,72.9283348
1,0,0,0,6.839716106,75.6814022
0,0,0,1,17.99170433,93.66203396
1,0,1,0,14.83625819,93.28595122
1,0,1,0,19.44365936,98.43537612
1,1,1,0,11.98143021,82.98879216
0,0,0,0,4.834274642,70.88553516
1,1,0,0,6.553100598,73.69789096
0,0,1,0,6.396718466,71.28821656
1,0,1,0,6.529886553,66.0796331
1,0,0,1,13.45928346,83.91916445
1,0,1,0,10.61615856,69.23588445
1,0,1,1,7.708483562,69.63063252
1,0,0,1,2.981795375,68.38861338
1,0,1,0,0.442783259,82.28521397
1,0,0,1,4.376693552,75.96662317
1,1,0,1,2.149428079,62.65804096
0,0,0,0,15.70890062,80.98434385
0,1,1,1,2.249959156,67.18333005
1,0,1,0,14.48456475,78.652583
1,1,1,0,7.713173796,64.4549947
1,0,1,0,1.467567795,57.03184921
0,0,0,0,16.25460099,88.65584233
1,0,0,0,11.5926114,87.73741521
0,1,1,0,4.715230257,72.1856316
0,1,1,0,17.89362349,99.91520821
0,1,1,1,0.905166277,57.04056566
0,1,1,0,4.036392164,84.23376615
0,0,0,1,15.04093856,90.48983731
1,0,1,0,14.18755861,80.68794596
1,0,0,0,5.785433874,87.61616201
1,1,1,0,1.240497507,67.0545847
1,0,1,1,17.16156144,82.57286874
1,1,1,1,6.273952761,67.46503171
0,1,0,1,3.914268299,65.34965358
1,1,1,1,10.32123645,71.28749847
1,1,0,1,18.20454399,103.5293499
0,1,0,1,0.870931557,64.56915236
1,0,1,0,15.31608176,95.82670888
0,1,0,0,11.44946456,78.25183375
1,1,0,1,8.508982331,66.60274694
0,0,0,1,14.88160888,81.84427449
1,1,1,1,19.31648849,84.15283816
1,1,0,1,4.584124223,62.97075749
0,0,0,1,2.872947301,82.22317719
0,0,1,0,18.2576349,95.33537896
0,0,1,0,13.37906155,79.73206178
0,1,0,0,8.759720431,86.29199471
0,0,0,0,11.46519141,93.68463228
0,0,0,0,14.9122781,82.92374236
0,0,0,0,15.46063797,96.56207702
0,1,1,0,18.39788362,95.21956997
1,0,1,0,8.536855778,78.31139648
1,1,0,1,5.8682182,62.11237744
0,1,1,1,12.79328534,75.17167561
1,0,0,0,8.314557986,75.97667892
1,1,1,0,11.89196908,84.95829045
1,1,1,0,8.399715969,63.48303173
1,0,0,1,3.059915734,68.5310676
0,1,0,1,9.388535033,70.97268886
1,0,0,0,13.81835644,84.54316132
0,1,0,1,15.98567615,75.95402128
1,1,1,0,9.866525536,75.30394807
1,0,1,0,3.304757804,66.25737872
1,0,0,0,8.293754193,69.44957916
0,1,1,0,15.72587858,77.07638958
1,1,1,0,8.257185412,79.78957716
0,0,0,1,13.93061587,98.68518537
1,1,0,0,10.14427363,77.60697479
0,1,1,0,4.824462502,72.2304441
1,1,0,0,15.92301016,80.01088133
0,1,0,0,1.684269081,79.14573578
